Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,PostgreSqlDatabaseDialect,6,0,18,8,236,54,0,2,0.7222222222222222,4,9
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialect,0,0,8,4,98,22,0,2,-1.0,3,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Db2DatabaseDialect,0,0,8,4,94,23,0,2,-1.0,2,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialects,6,0,13,10,134,22,0,0,0.15384615384615385,8,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,JdbcUrlDetails,3,0,5,5,22,5,0,1,0.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SapHanaDatabaseDialect,0,0,8,6,104,23,0,2,-1.0,3,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SybaseDatabaseDialect,0,0,15,7,174,39,0,2,-1.0,2,7
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc,AbstractIT,10,0,9,0,84,13,0,0,0.0,1,3
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc,SchemaRegistryContainer,1,1,3,3,18,3,0,0,0.6666666666666666,1,0
