Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,getConnection,16,3,0,61,0,io.aiven.connect.jdbc.util.CachedConnectionProvider,io.aiven.connect.jdbc.util.CachedConnectionProvider
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,isConnectionValid,3,1,2,77,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,26,3,0,85,0,io.aiven.connect.jdbc.util.CachedConnectionProvider,io.aiven.connect.jdbc.util.CachedConnectionProvider
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,close,15,2,0,112,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,identifier,3,1,0,127,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,onConnect,2,1,1,132,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,TableId,6,1,3,29,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,catalogName,3,1,0,40,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,schemaName,3,1,0,44,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,tableName,3,1,0,48,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,unqualified,3,1,0,52,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,appendTo,11,3,2,56,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,hashCode,3,1,0,69,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,equals,10,3,1,74,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,compareTo,38,11,1,88,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableId,toString,3,1,0,126,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,Version,getVersion,3,1,0,41,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinitions,TableDefinitions,3,1,1,40,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinitions,get,13,4,2,49,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinitions,refresh,6,1,2,74,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,ColumnDefinition,17,1,15,55,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isAutoIncrement,3,1,0,90,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isCaseSensitive,3,1,0,99,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isSearchable,3,1,0,108,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isCurrency,3,1,0,117,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isPrimaryKey,3,1,0,126,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,nullability,3,1,0,135,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isOptional,3,1,0,144,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,isSignedNumber,3,1,0,156,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,displaySize,3,1,0,165,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,id,3,1,0,174,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,tableId,3,1,0,183,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,precision,3,1,0,192,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,scale,3,1,0,206,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,type,3,1,0,216,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,typeName,3,1,0,226,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,mutability,3,1,0,236,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,classNameForType,3,1,0,245,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,hashCode,3,1,0,260,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,equals,10,3,1,265,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,toString,3,1,0,290,0,io.aiven.connect.jdbc.util.ColumnDefinition,io.aiven.connect.jdbc.util.ColumnDefinition
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,forTable,7,2,1,296,0,io.aiven.connect.jdbc.util.ColumnDefinition,io.aiven.connect.jdbc.util.ColumnDefinition
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,ColumnDefinition,asPartOfPrimaryKey,6,2,1,316,0,io.aiven.connect.jdbc.util.ColumnDefinition,io.aiven.connect.jdbc.util.ColumnDefinition
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,setup,14,1,0,56,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,cleanup,4,1,0,75,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithoutSchemaOrTableTypes,8,1,0,81,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWitSchemaAndWithoutTableTypes,9,1,0,91,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithSchemaAndTableTypes,9,1,0,102,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,12,1,0,113,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,5,1,0,136,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,8,1,0,143,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,9,1,0,153,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,10,1,0,164,1,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,namedValue,8,3,2,176,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertWhitelistRecommendations,3,1,1,185,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertBlacklistRecommendations,3,1,1,190,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,setup,6,1,0,54,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,tearDown,4,1,0,62,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBoolean,3,1,0,68,1,,
